Location,Year,Area,Price
Dhakoli,2023,1300,2850000.0
Dhakoli,2022,1300,2714285.71
Dhakoli,2021,1300,2585034.01
Dhakoli,2020,1300,2461937.16
Dhakoli,2019,1300,2344702.05
Dhakoli,2018,1300,2233049.57
Dhakoli,2017,1300,2126713.88
Dhakoli,2016,1300,2025441.79
Dhakoli,2015,1300,1928992.18
Dhakoli,2014,1300,1837135.41
Dhakoli,2023,1400,3600000.0
Dhakoli,2022,1400,3428571.43
Dhakoli,2021,1400,3265306.12
Dhakoli,2020,1400,3109815.35
Dhakoli,2019,1400,2961728.91
Dhakoli,2018,1400,2820694.2
Dhakoli,2017,1400,2686375.43
Dhakoli,2016,1400,2558452.79
Dhakoli,2015,1400,2436621.7
Dhakoli,2014,1400,2320592.1
Dhakoli,2023,1350,3690000.0
Dhakoli,2022,1350,3514285.71
Dhakoli,2021,1350,3346938.78
Dhakoli,2020,1350,3187560.74
Dhakoli,2019,1350,3035772.13
Dhakoli,2018,1350,2891211.55
Dhakoli,2017,1350,2753534.81
Dhakoli,2016,1350,2622414.11
Dhakoli,2015,1350,2497537.25
Dhakoli,2014,1350,2378606.9
New chandigarh mohali,2023,1200,10000000.0
New chandigarh mohali,2022,1200,9523809.52
New chandigarh mohali,2021,1200,9070294.78
New chandigarh mohali,2020,1200,8638375.99
New chandigarh mohali,2019,1200,8227024.75
New chandigarh mohali,2018,1200,7835261.66
New chandigarh mohali,2017,1200,7462153.97
New chandigarh mohali,2016,1200,7106813.3
New chandigarh mohali,2015,1200,6768393.62
New chandigarh mohali,2014,1200,6446089.16
Sunny Enclave,2023,1008,3090000.0
Sunny Enclave,2022,1008,2942857.14
Sunny Enclave,2021,1008,2802721.09
Sunny Enclave,2020,1008,2669258.18
Sunny Enclave,2019,1008,2542150.65
Sunny Enclave,2018,1008,2421095.85
Sunny Enclave,2017,1008,2305805.58
Sunny Enclave,2016,1008,2196005.31
Sunny Enclave,2015,1008,2091433.63
Sunny Enclave,2014,1008,1991841.55
Dhakoli,2023,1500,3200000.0
Dhakoli,2022,1500,3047619.05
Dhakoli,2021,1500,2902494.33
Dhakoli,2020,1500,2764280.32
Dhakoli,2019,1500,2632647.92
Dhakoli,2018,1500,2507283.73
Dhakoli,2017,1500,2387889.27
Dhakoli,2016,1500,2274180.26
Dhakoli,2015,1500,2165885.96
Dhakoli,2014,1500,2062748.53
New chandigarh mohali,2023,1596,9500000.0
New chandigarh mohali,2022,1596,9047619.05
New chandigarh mohali,2021,1596,8616780.05
New chandigarh mohali,2020,1596,8206457.19
New chandigarh mohali,2019,1596,7815673.51
New chandigarh mohali,2018,1596,7443498.58
New chandigarh mohali,2017,1596,7089046.27
New chandigarh mohali,2016,1596,6751472.64
New chandigarh mohali,2015,1596,6429973.94
New chandigarh mohali,2014,1596,6123784.7
Dhakoli,2023,1611,6390000.0
Dhakoli,2022,1611,6085714.29
Dhakoli,2021,1611,5795918.37
Dhakoli,2020,1611,5519922.25
Dhakoli,2019,1611,5257068.81
Dhakoli,2018,1611,5006732.2
Dhakoli,2017,1611,4768316.38
Dhakoli,2016,1611,4541253.7
Dhakoli,2015,1611,4325003.52
Dhakoli,2014,1611,4119050.97
Sector 79,2023,1800,13000000.0
Sector 79,2022,1800,12380952.38
Sector 79,2021,1800,11791383.22
Sector 79,2020,1800,11229888.78
Sector 79,2019,1800,10695132.17
Sector 79,2018,1800,10185840.16
Sector 79,2017,1800,9700800.16
Sector 79,2016,1800,9238857.29
Sector 79,2015,1800,8798911.71
Sector 79,2014,1800,8379915.91
Sector 80,2023,2000,17000000.0
Sector 80,2022,2000,16190476.19
Sector 80,2021,2000,15419501.13
Sector 80,2020,2000,14685239.18
Sector 80,2019,2000,13985942.07
Sector 80,2018,2000,13319944.83
Sector 80,2017,2000,12685661.74
Sector 80,2016,2000,12081582.61
Sector 80,2015,2000,11506269.15
Sector 80,2014,2000,10958351.58
Sector 64,2023,2450,14500000.0
Sector 64,2022,2450,13809523.81
Sector 64,2021,2450,13151927.44
Sector 64,2020,2450,12525645.18
Sector 64,2019,2450,11929185.88
Sector 64,2018,2450,11361129.41
Sector 64,2017,2450,10820123.25
Sector 64,2016,2450,10304879.29
Sector 64,2015,2450,9814170.75
Sector 64,2014,2450,9346829.29
Dhakoli,2023,1350,3990000.0
Dhakoli,2022,1350,3800000.0
Dhakoli,2021,1350,3619047.62
Dhakoli,2020,1350,3446712.02
Dhakoli,2019,1350,3282582.87
Dhakoli,2018,1350,3126269.4
Dhakoli,2017,1350,2977399.43
Dhakoli,2016,1350,2835618.51
Dhakoli,2015,1350,2700589.05
Dhakoli,2014,1350,2571989.58
Dhakoli,2023,1655,7000000.0
Dhakoli,2022,1655,6666666.67
Dhakoli,2021,1655,6349206.35
Dhakoli,2020,1655,6046863.19
Dhakoli,2019,1655,5758917.32
Dhakoli,2018,1655,5484683.17
Dhakoli,2017,1655,5223507.78
Dhakoli,2016,1655,4974769.31
Dhakoli,2015,1655,4737875.53
Dhakoli,2014,1655,4512262.41
Dhakoli,2023,1349,4000000.0
Dhakoli,2022,1349,3809523.81
Dhakoli,2021,1349,3628117.91
Dhakoli,2020,1349,3455350.39
Dhakoli,2019,1349,3290809.9
Dhakoli,2018,1349,3134104.67
Dhakoli,2017,1349,2984861.59
Dhakoli,2016,1349,2842725.32
Dhakoli,2015,1349,2707357.45
Dhakoli,2014,1349,2578435.66
Dhakoli,2023,900,2400000.0
Dhakoli,2022,900,2285714.29
Dhakoli,2021,900,2176870.75
Dhakoli,2020,900,2073210.24
Dhakoli,2019,900,1974485.94
Dhakoli,2018,900,1880462.8
Dhakoli,2017,900,1790916.95
Dhakoli,2016,900,1705635.19
Dhakoli,2015,900,1624414.47
Dhakoli,2014,900,1547061.4
Sector 22,2023,1125,15000000.0
Sector 22,2022,1125,14285714.29
Sector 22,2021,1125,13605442.18
Sector 22,2020,1125,12957563.98
Sector 22,2019,1125,12340537.12
Sector 22,2018,1125,11752892.5
Sector 22,2017,1125,11193230.95
Sector 22,2016,1125,10660219.95
Sector 22,2015,1125,10152590.43
Sector 22,2014,1125,9669133.74
Sector 80,2023,1300,7200000.0
Sector 80,2022,1300,6857142.86
Sector 80,2021,1300,6530612.24
Sector 80,2020,1300,6219630.71
Sector 80,2019,1300,5923457.82
Sector 80,2018,1300,5641388.4
Sector 80,2017,1300,5372750.86
Sector 80,2016,1300,5116905.58
Sector 80,2015,1300,4873243.41
Sector 80,2014,1300,4641184.2
Preet Colony,2023,855,2790000.0
Preet Colony,2022,855,2657142.86
Preet Colony,2021,855,2530612.24
Preet Colony,2020,855,2410106.9
Preet Colony,2019,855,2295339.9
Preet Colony,2018,855,2186038.0
Preet Colony,2017,855,2081940.96
Preet Colony,2016,855,1982800.91
Preet Colony,2015,855,1888381.82
Preet Colony,2014,855,1798458.88
New chandigarh mohali,2023,1778,10600000.0
New chandigarh mohali,2022,1778,10095238.1
New chandigarh mohali,2021,1778,9614512.47
New chandigarh mohali,2020,1778,9156678.54
New chandigarh mohali,2019,1778,8720646.23
New chandigarh mohali,2018,1778,8305377.36
New chandigarh mohali,2017,1778,7909883.2
New chandigarh mohali,2016,1778,7533222.1
New chandigarh mohali,2015,1778,7174497.24
New chandigarh mohali,2014,1778,6832854.51
Sunny Enclave,2023,1350,3490000.0
Sunny Enclave,2022,1350,3323809.52
Sunny Enclave,2021,1350,3165532.88
Sunny Enclave,2020,1350,3014793.22
Sunny Enclave,2019,1350,2871231.64
Sunny Enclave,2018,1350,2734506.32
Sunny Enclave,2017,1350,2604291.73
Sunny Enclave,2016,1350,2480277.84
Sunny Enclave,2015,1350,2362169.37
Sunny Enclave,2014,1350,2249685.12
Sector 71,2023,1350,5500000.0
Sector 71,2022,1350,5238095.24
Sector 71,2021,1350,4988662.13
Sector 71,2020,1350,4751106.79
Sector 71,2019,1350,4524863.61
Sector 71,2018,1350,4309393.92
Sector 71,2017,1350,4104184.68
Sector 71,2016,1350,3908747.32
Sector 71,2015,1350,3722616.49
Sector 71,2014,1350,3545349.04
Sector 50,2023,1500,18500000.0
Sector 50,2022,1500,17619047.62
Sector 50,2021,1500,16780045.35
Sector 50,2020,1500,15980995.57
Sector 50,2019,1500,15219995.78
Sector 50,2018,1500,14495234.08
Sector 50,2017,1500,13804984.84
Sector 50,2016,1500,13147604.61
Sector 50,2015,1500,12521528.2
Sector 50,2014,1500,11925264.95
New chandigarh mohali,2023,1995,12500000.0
New chandigarh mohali,2022,1995,11904761.9
New chandigarh mohali,2021,1995,11337868.48
New chandigarh mohali,2020,1995,10797969.98
New chandigarh mohali,2019,1995,10283780.93
New chandigarh mohali,2018,1995,9794077.08
New chandigarh mohali,2017,1995,9327692.46
New chandigarh mohali,2016,1995,8883516.63
New chandigarh mohali,2015,1995,8460492.03
New chandigarh mohali,2014,1995,8057611.45
Sector 15,2023,2250,28500000.0
Sector 15,2022,2250,27142857.14
Sector 15,2021,2250,25850340.14
Sector 15,2020,2250,24619371.56
Sector 15,2019,2250,23447020.53
Sector 15,2018,2250,22330495.74
Sector 15,2017,2250,21267138.8
Sector 15,2016,2250,20254417.91
Sector 15,2015,2250,19289921.82
Sector 15,2014,2250,18371354.11
Dhakoli,2023,1150,3000000.0
Dhakoli,2022,1150,2857142.86
Dhakoli,2021,1150,2721088.44
Dhakoli,2020,1150,2591512.8
Dhakoli,2019,1150,2468107.42
Dhakoli,2018,1150,2350578.5
Dhakoli,2017,1150,2238646.19
Dhakoli,2016,1150,2132043.99
Dhakoli,2015,1150,2030518.09
Dhakoli,2014,1150,1933826.75
Lohgarh,2023,1300,4890000.0
Lohgarh,2022,1300,4657142.86
Lohgarh,2021,1300,4435374.15
Lohgarh,2020,1300,4224165.86
Lohgarh,2019,1300,4023015.1
Lohgarh,2018,1300,3831442.95
Lohgarh,2017,1300,3648993.29
Lohgarh,2016,1300,3475231.7
Lohgarh,2015,1300,3309744.48
Lohgarh,2014,1300,3152137.6
Sector 78,2023,1836,11000000.0
Sector 78,2022,1836,10476190.48
Sector 78,2021,1836,9977324.26
Sector 78,2020,1836,9502213.58
Sector 78,2019,1836,9049727.22
Sector 78,2018,1836,8618787.83
Sector 78,2017,1836,8208369.36
Sector 78,2016,1836,7817494.63
Sector 78,2015,1836,7445232.98
Sector 78,2014,1836,7090698.08
Sector 79,2023,1350,5800000.0
Sector 79,2022,1350,5523809.52
Sector 79,2021,1350,5260770.98
Sector 79,2020,1350,5010258.07
Sector 79,2019,1350,4771674.35
Sector 79,2018,1350,4544451.77
Sector 79,2017,1350,4328049.3
Sector 79,2016,1350,4121951.71
Sector 79,2015,1350,3925668.3
Sector 79,2014,1350,3738731.71
Sector 63,2023,1050,5500000.0
Sector 63,2022,1050,5238095.24
Sector 63,2021,1050,4988662.13
Sector 63,2020,1050,4751106.79
