Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
2850000,1300,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3600000,1400,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3690000,1350,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
10000000,1200,New chandigarh mohali,0,0,0,0,,,0,0,0,,0,,0,0,0
3090000,1008,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
3200000,1500,Dhakoli,0,0,0,0,,,0,1,0,1.0,0,,0,0,0
9500000,1596,New chandigarh mohali,0,0,1,1,,,0,1,1,1.0,0,,0,0,1
6390000,1611,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
13000000,1800,Sector 79,0,0,0,0,,,0,0,0,,0,,0,0,0
17000000,2000,Sector 80,0,0,0,1,,,0,0,0,,0,,0,0,0
14500000,2450,Sector 64,0,1,0,0,,,0,0,0,,0,,0,0,0
3990000,1350,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
7000000,1655,Dhakoli,0,1,1,1,,,0,1,1,,0,,0,0,1
4000000,1349,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
2400000,900,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
15000000,1125,Sector 22,0,0,0,0,,,0,0,0,,0,,0,0,0
7200000,1300,Sector 80,0,0,0,0,,,0,0,0,,0,,0,0,0
2790000,855,Preet Colony,0,1,0,0,,,0,1,0,,0,,0,0,0
10600000,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
3490000,1350,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
5500000,1350,Sector 71,0,0,0,0,,,0,0,0,,0,,0,0,0
18500000,1500,Sector 50,0,0,1,0,,,0,1,0,,0,,0,0,0
12500000,1995,New chandigarh mohali,0,0,1,1,,,0,1,1,,0,,0,0,1
28500000,2250,Sector 15,0,1,0,0,,,0,0,0,,0,,0,0,0
3000000,1150,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
4890000,1300,Lohgarh,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
11000000,1836,Sector 78,0,0,0,0,,,0,0,0,,0,,0,0,0
5800000,1350,Sector 79,0,0,0,0,,,0,0,0,,0,,0,0,0
5500000,1050,Sector 63,0,0,0,0,,,0,0,0,,0,,0,0,0
7500000,2700,New chandigarh mohali,0,0,0,0,,,0,1,1,,0,,0,0,1
6900000,1755,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
6500000,1640,New chandigarh mohali,0,0,0,0,,,0,0,0,,0,,0,0,0
13500000,1100,Sector 51,0,0,0,0,,,0,0,0,,0,,0,0,0
7500000,1100,Sector 60,0,0,0,0,,,0,1,0,,0,,0,0,0
27500000,4093,New chandigarh mohali,0,1,1,1,,,0,1,1,,0,,0,0,1
8000000,1125,Sector 78,0,1,0,0,,,0,0,0,,0,,0,0,0
9500000,1560,New chandigarh mohali,0,0,0,0,,,0,0,0,,0,,0,0,0
2750000,900,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3555000,990,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
10500000,1800,Sector 79,0,0,0,0,,,0,0,0,,0,,0,0,0
3490000,1080,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
3800000,1358,Dhakoli,0,1,0,0,,,0,1,0,1.0,0,,0,0,0
3190000,900,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
4200000,1125,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
7950100,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
12000000,1575,Sector 35,0,0,0,0,,,0,0,0,,0,,0,0,0
1690000,600,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
100000000,9000,Sector 16,0,0,0,0,,,0,0,0,,0,,0,0,0
6200000,1350,Lohgarh,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
32500000,3250,Sector 34,0,0,0,0,,,0,0,0,,0,,0,0,0
9505000,1596,New chandigarh mohali,0,0,1,1,,,0,1,1,1.0,0,,0,0,1
51000000,3000,Sector 19,0,0,0,1,,,0,1,0,,0,,0,0,0
3900000,1450,Gazipur,0,1,0,1,,,0,1,0,,0,,0,0,0
6200000,1800,Lohgarh,0,0,1,1,,,0,1,1,1.0,0,,0,0,1
16000000,2250,Sector 60,0,1,0,0,,,0,0,0,,0,,0,0,0
4299000,1350,Sunny Enclave,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
31900000,1200,Sector 49,0,1,0,0,,,0,1,0,,0,,0,0,0
9000000,1440,Sector 78,0,0,0,0,,,0,1,0,,0,,0,0,0
7900000,2079,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
6499320,1640,New chandigarh mohali,0,0,1,0,,,0,1,1,,0,,0,0,1
3200000,1080,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
2790000,855,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
11000000,1400,Sector 22,0,1,0,0,,,0,0,0,,0,,0,0,0
3950000,1044,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
7890000,1640,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
23600000,2250,Sector 34,0,1,0,0,,,0,0,0,,0,,0,0,0
42500000,5400,Sector 21,0,1,0,0,,,0,0,0,,0,,0,0,0
25000000,4500,Sector 69,0,0,0,0,,,0,1,0,,0,,0,0,0
4750000,1325,Lohgarh,0,1,0,1,,,0,0,0,,0,,0,0,0
7500000,2250,Togan,0,1,0,0,,,0,0,0,,0,,0,0,0
12500000,2250,Sector 59,0,0,0,0,,,0,0,0,,0,,0,0,0
3090000,1035,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
3600000,1300,Dhakoli,0,1,0,0,,,0,1,0,1.0,0,,0,0,0
